0	0	19972
1	0	20155
2	0	21536
3	0	23069
4	0	24813
5	0	26578
6	0	28454
7	0	30376
8	0	32488
9	0	34642
10	0	36833
11	0	39007
12	0	41192
13	0	43565
14	0	45723
15	0	47809
16	0	49660
17	0	51458
18	0	52958
19	0	54262
20	0	55151
21	0	55816
22	0	56173
23	0	56345
24	0	56305
25	0	56279
26	0	56116
27	0	55938
28	0	55770
29	0	55550
30	0	55330
31	0	55184
32	0	55146
33	0	55003
34	0	54869
35	0	54722
36	0	54656
37	0	54596
38	0	54440
39	0	54360
40	0	54249
41	0	54258
42	0	54128
43	0	54114
44	0	54236
45	0	54192
46	0	54107
47	0	54041
48	0	54060
49	0	54020
50	0	54003
51	0	53946
52	0	53977
53	0	53852
54	0	53878
55	0	53872
56	0	54006
57	0	54065
58	0	54056
59	0	54064
60	0	54084
61	0	54062
62	0	54078
63	0	54046
64	0	54053
65	0	54049
66	0	54120
67	0	54234
68	0	54300
69	0	54290
70	0	54327
71	0	54375
72	19	54426
73	25	54405
74	35	54398
75	54	54287
76	62	54376
77	76	54486
78	126	54419
79	146	54323
80	199	54303
81	268	54383
82	367	54371
83	451	54331
84	567	54334
85	718	54363
86	945	54293
87	1136	54196
88	1400	54225
89	1640	54144
90	1975	54048
91	2313	54138
92	2613	54160
93	3021	54112
94	3457	54105
95	3809	54113
96	4146	54173
97	4560	54180
98	4777	54136
99	5030	54147
100	5304	54139
101	5660	54137
102	5793	54155
103	6170	54203
104	6448	54236
105	6824	54297
106	7004	54281
107	7264	54206
108	7515	54145
109	7698	54188
110	7898	54167
111	8067	54131
112	8116	54085
113	8145	54139
114	8132	54116
115	8114	54138
116	8162	54145
117	8114	54220
118	7975	54314
119	7819	54277
120	7566	54254
121	7365	54219
122	7138	54063
123	6875	54041
124	6639	54082
125	6355	54008
126	6082	54080
127	5845	54068
128	5603	54075
129	5453	54176
130	5288	54139
131	5165	54152
132	4938	54150
133	4737	54147
134	4505	54197
135	4327	54252
136	4036	54188
137	3771	54267
138	3494	54267
139	3236	54216
140	2985	54295
141	2773	54370
142	2526	54449
143	2325	54596
144	2071	54625
145	1812	54596
146	1557	54581
147	1355	54578
148	1135	54517
149	971	54470
150	784	54457
151	640	54449
152	506	54455
153	428	54542
154	341	54612
155	246	54641
156	197	54576
157	154	54527
158	121	54602
159	90	54655
160	70	54523
161	53	54500
162	40	54555
163	27	54604
164	20	54450
165	15	54491
166	11	54460
167	7	54512
168	6	54501
169	6	54508
170	5	54476
171	4	54386
172	4	54360
173	1	54312
174	0	54301
175	0	54257
176	0	54280
177	0	54371
178	0	54360
179	0	54302
180	0	54314
181	0	54364
182	0	54266
183	0	54282
184	0	54131
185	0	53907
186	0	53877
187	0	53782
188	0	53792
189	0	53763
190	0	53571
191	0	53555
192	0	53554
193	0	53580
194	0	53692
195	0	53647
196	0	53766
197	0	53761
198	0	53846
199	0	53869
200	0	53862
201	0	53843
202	0	53858
203	0	53837
204	0	53910
205	0	53813
206	0	53873
207	0	54042
208	0	53992
209	0	53960
210	0	54071
211	0	54059
212	0	54210
213	0	54258
214	0	54182
215	0	54185
216	0	54196
217	0	54101
218	0	54152
219	0	54240
220	0	54353
221	0	54298
222	0	54344
223	0	54283
224	0	54269
225	0	54371
226	0	54322
227	0	54255
228	0	54244
229	0	54263
230	0	54370
231	0	54488
232	0	54514
233	0	54453
234	0	54500
235	0	54440
236	0	54486
237	0	54402
238	0	54508
239	0	54592
240	0	54599
241	0	54526
242	0	54512
243	0	54639
244	0	54579
245	0	54460
246	0	54534
247	0	54487
248	0	54455
249	0	54423
250	0	54417
251	0	54449
252	0	54368
253	0	54408
254	0	54363
255	0	54301
256	0	54342
257	0	54288
258	0	54273
259	0	54293
260	0	54250
261	0	54235
262	0	54235
263	0	54237
264	0	54287
265	0	54272
266	0	54214
267	0	54359
268	0	54362
269	0	54419
270	0	54423
271	0	54451
272	0	54423
273	0	54366
274	0	54432
275	0	54460
276	0	54413
277	0	54331
278	0	54376
279	0	54405
280	0	54450
281	0	54455
282	0	54402
283	0	54388
284	0	54396
285	0	54460
286	0	54553
287	0	54495
288	0	54421
289	0	54381
290	0	54314
291	0	54398
292	0	54279
293	0	54364
294	0	54327
295	0	54371
296	0	54339
297	0	54220
298	0	54196
299	0	54206
300	0	54206
301	0	54269
302	0	54312
303	0	54307
304	0	54348
305	0	54294
306	0	54324
307	0	54287
308	0	54353
309	0	54295
310	0	54296
311	0	54322
312	0	54410
313	0	54466
314	0	54378
315	0	54418
316	0	54486
317	0	54474
318	0	54455
319	0	54411
320	0	54498
321	0	54480
322	0	54441
323	0	54383
324	0	54411
325	0	54395
326	0	54332
327	0	54197
328	0	54240
329	0	54285
330	0	54273
331	0	54376
332	0	54337
333	0	54386
334	0	54408
335	0	54429
336	0	54404
337	0	54403
338	0	54372
339	0	54306
340	0	54437
341	0	54469
342	0	54485
343	0	54357
344	0	54374
345	0	54158
346	0	54186
347	0	54286
348	0	54299
349	0	54376
350	0	54405
351	0	54402
352	0	54374
353	0	54295
354	0	54307
355	0	54262
356	0	54172
357	0	54218
358	0	54142
359	0	54161
360	0	54294
361	0	54298
362	0	54329
363	0	54415
364	0	54315
365	0	54268
